@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
9.0,12.0,15.0,22.0,6.0,19.0,1.0,3.0,29.0,19.0,3,369.0
10.0,12.0,15.0,22.0,6.0,18.0,1.0,3.0,29.0,19.0,3,368.0
11.0,12.0,7.0,23.0,6.0,18.0,1.0,3.0,29.0,19.0,3,367.0
12.0,12.0,3.0,23.0,5.0,18.0,1.0,3.0,29.0,19.0,3,366.0
13.0,12.0,7.0,23.0,4.0,18.0,1.0,3.0,29.0,19.0,3,365.0
14.0,12.0,15.0,28.0,9.0,16.0,1.0,3.0,29.0,19.0,3,364.0
15.0,12.0,7.0,23.0,5.0,15.0,1.0,3.0,29.0,19.0,3,363.0
16.0,12.0,7.0,23.0,5.0,14.0,1.0,3.0,29.0,19.0,3,362.0
17.0,12.0,15.0,23.0,5.0,13.0,1.0,3.0,29.0,19.0,3,361.0
18.0,12.0,15.0,23.0,6.0,11.0,1.0,3.0,29.0,19.0,3,360.0
19.0,12.0,15.0,23.0,7.0,9.0,1.0,3.0,29.0,19.0,3,359.0
20.0,12.0,14.0,23.0,7.0,8.0,1.0,3.0,29.0,19.0,3,358.0
20.0,11.0,14.0,23.0,6.0,8.0,1.0,3.0,29.0,19.0,1,357.0
20.0,10.0,11.0,23.0,7.0,6.0,1.0,3.0,29.0,19.0,1,356.0
21.0,10.0,3.0,24.0,7.0,6.0,1.0,3.0,29.0,19.0,3,355.0
22.0,10.0,11.0,24.0,6.0,6.0,1.0,3.0,29.0,19.0,3,354.0
23.0,10.0,15.0,23.0,6.0,4.0,1.0,3.0,29.0,19.0,3,353.0
23.0,9.0,13.0,23.0,6.0,3.0,1.0,3.0,29.0,19.0,1,352.0
23.0,8.0,15.0,23.0,5.0,3.0,1.0,3.0,29.0,19.0,1,351.0
23.0,7.0,13.0,24.0,5.0,3.0,1.0,3.0,29.0,19.0,1,350.0
24.0,7.0,15.0,25.0,5.0,3.0,1.0,3.0,29.0,19.0,3,349.0
25.0,7.0,15.0,25.0,4.0,3.0,1.0,3.0,29.0,19.0,3,348.0
25.0,6.0,15.0,24.0,4.0,3.0,1.0,3.0,29.0,19.0,1,347.0
25.0,5.0,15.0,24.0,3.0,3.0,1.0,3.0,29.0,19.0,1,346.0
25.0,4.0,15.0,25.0,3.0,1.0,1.0,3.0,29.0,19.0,1,545.0
25.0,3.0,11.0,27.0,5.0,3.0,1.0,3.0,29.0,19.0,1,544.0
25.0,4.0,15.0,27.0,4.0,3.0,1.0,3.0,29.0,19.0,0,543.0
26.0,4.0,15.0,28.0,4.0,1.0,1.0,3.0,29.0,19.0,0,543.0
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,1,-1.0
1.0,17.0,12.0,6.0,9.0,13.0,1.0,3.0,29.0,19.0,1,-2.0
1.0,16.0,13.0,6.0,10.0,11.0,1.0,3.0,29.0,19.0,1,-3.0
1.0,15.0,13.0,6.0,10.0,10.0,1.0,3.0,29.0,19.0,1,-4.0
1.0,14.0,13.0,6.0,9.0,10.0,1.0,3.0,29.0,19.0,1,-5.0
1.0,13.0,12.0,6.0,10.0,8.0,1.0,3.0,29.0,19.0,1,-6.0
1.0,12.0,13.0,6.0,9.0,8.0,1.0,3.0,29.0,19.0,1,-7.0
1.0,11.0,12.0,2.0,4.0,8.0,1.0,3.0,29.0,19.0,1,-8.0
