@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
32.0,4.0,9.0,31.0,7.0,3.0,9.0,0.0,0.0,569.0,S
33.0,4.0,8.0,31.0,8.0,3.0,9.0,0.0,0.0,568.0,S
34.0,4.0,7.0,29.0,7.0,3.0,7.0,0.0,0.0,567.0,S
35.0,4.0,6.0,31.0,7.0,4.0,5.0,0.0,0.0,566.0,S
36.0,5.0,6.0,15.0,6.0,4.0,3.0,0.0,0.0,565.0,E
37.0,6.0,6.0,15.0,6.0,3.0,3.0,0.0,0.0,564.0,E
38.0,6.0,5.0,31.0,6.0,4.0,1.0,0.0,0.0,563.0,X
1.0,1.0,3.0,19.0,2.0,8.0,6.0,5.0,2.0,0.0,X
2.0,1.0,4.0,27.0,1.0,9.0,5.0,5.0,3.0,-1.0,N
3.0,1.0,5.0,27.0,3.0,7.0,4.0,5.0,2.0,-2.0,N
4.0,1.0,6.0,27.0,1.0,9.0,3.0,5.0,1.0,-3.0,N
5.0,1.0,7.0,27.0,1.0,9.0,2.0,4.0,2.0,96.0,N
6.0,1.0,8.0,27.0,1.0,10.0,2.0,4.0,1.0,295.0,N
7.0,1.0,9.0,27.0,2.0,10.0,2.0,3.0,2.0,394.0,N
8.0,1.0,10.0,11.0,3.0,10.0,2.0,3.0,3.0,393.0,N
9.0,2.0,10.0,15.0,3.0,10.0,1.0,3.0,2.0,392.0,E
10.0,3.0,10.0,15.0,1.0,10.0,2.0,3.0,1.0,591.0,E
11.0,2.0,10.0,15.0,1.0,10.0,1.0,3.0,2.0,590.0,W
12.0,1.0,10.0,11.0,2.0,6.0,4.0,3.0,3.0,789.0,W
13.0,2.0,10.0,15.0,2.0,7.0,2.0,3.0,2.0,788.0,E
14.0,2.0,9.0,31.0,2.0,8.0,2.0,3.0,1.0,787.0,S
15.0,2.0,8.0,31.0,3.0,8.0,1.0,3.0,2.0,786.0,X
1.0,1.0,18.0,11.0,5.0,9.0,13.0,0.0,0.0,0.0,X
2.0,1.0,17.0,25.0,5.0,8.0,13.0,0.0,0.0,-1.0,S
3.0,1.0,16.0,27.0,6.0,8.0,13.0,0.0,0.0,-2.0,S
4.0,1.0,15.0,27.0,6.0,7.0,13.0,0.0,0.0,-3.0,S
5.0,1.0,14.0,27.0,5.0,7.0,11.0,0.0,0.0,-4.0,S
6.0,1.0,13.0,25.0,5.0,6.0,11.0,0.0,0.0,-5.0,S
7.0,1.0,12.0,27.0,5.0,7.0,9.0,0.0,0.0,-6.0,S
8.0,1.0,11.0,25.0,4.0,7.0,7.0,0.0,0.0,-7.0,S
9.0,1.0,10.0,25.0,3.0,7.0,5.0,0.0,0.0,-8.0,S
10.0,1.0,9.0,25.0,3.0,8.0,3.0,0.0,0.0,-9.0,S
11.0,1.0,8.0,25.0,3.0,9.0,3.0,0.0,0.0,-10.0,S
12.0,1.0,7.0,25.0,4.0,9.0,5.0,0.0,0.0,-11.0,S
13.0,1.0,6.0,27.0,4.0,8.0,5.0,0.0,0.0,-12.0,S
14.0,2.0,6.0,15.0,3.0,8.0,3.0,0.0,0.0,-13.0,E
15.0,3.0,6.0,31.0,4.0,8.0,3.0,0.0,0.0,-14.0,E
16.0,3.0,7.0,27.0,3.0,8.0,1.0,0.0,0.0,-15.0,N
17.0,3.0,8.0,27.0,10.0,3.0,12.0,0.0,0.0,184.0,N
18.0,4.0,8.0,31.0,9.0,3.0,10.0,0.0,0.0,183.0,E
19.0,5.0,8.0,31.0,9.0,4.0,8.0,0.0,0.0,182.0,E
20.0,6.0,8.0,29.0,9.0,3.0,8.0,0.0,0.0,181.0,E
21.0,6.0,7.0,29.0,9.0,4.0,6.0,0.0,0.0,180.0,S
22.0,6.0,6.0,23.0,9.0,4.0,5.0,0.0,0.0,179.0,S
23.0,7.0,6.0,7.0,10.0,4.0,5.0,0.0,0.0,178.0,E
24.0,8.0,6.0,31.0,9.0,4.0,3.0,0.0,0.0,177.0,E
25.0,9.0,6.0,31.0,9.0,3.0,3.0,0.0,0.0,176.0,E
26.0,9.0,5.0,31.0,9.0,4.0,1.0,0.0,0.0,175.0,S
27.0,9.0,4.0,31.0,20.0,4.0,11.0,0.0,0.0,374.0,S
28.0,9.0,5.0,31.0,19.0,4.0,11.0,0.0,0.0,373.0,N
29.0,9.0,6.0,31.0,20.0,4.0,13.0,0.0,0.0,372.0,N
30.0,9.0,7.0,31.0,20.0,4.0,14.0,0.0,0.0,371.0,N
31.0,9.0,8.0,31.0,20.0,4.0,15.0,0.0,0.0,370.0,N
32.0,9.0,9.0,31.0,20.0,4.0,16.0,0.0,0.0,369.0,N
33.0,9.0,10.0,31.0,20.0,5.0,16.0,0.0,0.0,368.0,N
34.0,9.0,11.0,31.0,20.0,6.0,16.0,0.0,0.0,367.0,N
35.0,9.0,12.0,31.0,21.0,6.0,18.0,0.0,0.0,366.0,N
