@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
14,9,31,15,9,1,S
15,9,31,12,6,6,E
15,8,31,12,7,4,S
15,7,31,12,7,3,S
14,7,31,12,6,3,W
14,6,31,12,6,2,S
13,6,31,12,6,1,W
12,6,31,6,5,7,W
12,5,31,5,5,7,S
11,5,31,6,5,5,W
10,5,31,5,5,5,W
9,5,31,5,5,4,W
8,5,31,6,5,2,W
7,5,31,6,5,1,W
6,5,31,1,11,11,W
6,6,31,1,11,10,N
6,7,31,1,12,10,N
6,8,31,1,12,9,N
6,9,31,1,12,8,N
6,10,27,1,12,7,N
6,11,31,2,12,5,N
6,12,31,2,13,5,N
6,13,31,1,13,5,N
5,13,31,1,13,4,W
4,13,31,1,12,4,W
4,12,31,1,11,4,S
4,11,23,2,11,2,S
3,11,23,2,11,1,W
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,14,12,3,N
13,12,31,15,12,3,E
14,12,31,15,13,3,E
14,13,31,15,14,3,N
14,14,15,16,14,2,N
15,14,15,16,14,2,E
16,14,15,17,14,2,E
17,14,15,15,8,8,E
17,13,31,15,7,8,S
17,12,31,15,6,8,S
17,11,31,15,6,7,S
17,10,31,15,7,5,S
17,9,31,14,7,5,S
17,8,31,14,8,3,S
16,8,31,13,8,3,W
15,8,31,13,9,3,W
15,9,31,13,9,2,N
14,9,31,12,9,2,W
13,9,31,12,9,1,W
12,9,31,7,9,5,W
11,9,31,7,10,5,W
11,10,31,8,10,3,N
10,10,31,8,10,2,W
9,10,31,8,9,2,W
9,9,31,2,9,7,S
8,9,31,3,9,5,W
7,9,31,3,9,4,W
6,9,31,4,9,2,W
5,9,15,3,9,2,W
4,9,15,3,8,2,W
4,8,31,3,9,2,S
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,13,11,3,N
13,12,31,13,10,3,E
13,11,31,12,10,3,S
13,10,31,11,10,3,S
12,10,31,11,11,1,W
12,11,31,6,11,6,N
11,11,31,5,11,6,W
10,11,31,5,11,5,W
9,11,31,4,11,5,W
8,11,31,4,12,5,W
8,12,31,3,12,5,N
7,12,31,2,12,5,W
6,12,31,2,12,4,W
