@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
8,7,3,11,7,2,1,3,19,12,E,1288
9,7,11,10,7,2,1,3,19,12,E,1487
10,7,11,10,8,1,1,3,19,12,N,1487
12,10,3,13,12,3,1,3,19,15,E,-1
13,10,7,13,12,3,1,3,19,15,E,-2
14,10,7,12,12,4,1,3,19,15,E,-3
15,10,15,15,5,5,1,3,19,15,E,-4
15,9,15,15,6,3,1,3,19,15,S,-5
15,8,15,16,6,3,1,3,19,15,S,-6
16,8,15,16,6,2,1,3,19,15,E,-7
16,7,15,16,5,2,1,3,19,15,S,-8
16,6,15,16,5,1,1,3,19,15,S,191
16,5,15,12,12,10,1,3,19,15,S,190
16,6,15,13,12,10,1,3,19,15,N,189
16,7,15,12,12,9,1,3,19,15,N,188
16,8,15,12,12,9,1,3,19,15,N,187
16,9,15,11,12,9,1,3,19,15,N,186
16,10,15,10,12,8,1,3,19,15,N,185
16,11,15,10,13,8,1,3,19,15,N,184
16,12,15,10,12,6,1,3,19,15,N,183
16,13,15,10,12,7,1,3,19,15,N,182
16,14,7,9,12,8,1,3,19,15,N,181
15,14,7,10,12,6,1,3,19,15,W,180
14,14,3,11,12,4,1,3,19,15,W,179
13,14,3,12,12,2,1,3,19,15,W,178
12,14,3,13,12,2,1,3,19,15,W,177
11,14,3,12,12,2,1,3,19,15,W,176
10,14,7,11,12,3,1,3,19,15,W,175
10,13,14,11,12,2,1,3,19,15,S,374
10,12,11,11,12,2,1,3,19,15,S,573
11,12,3,4,7,12,1,3,19,15,E,572
10,12,11,4,6,12,1,3,19,15,W,571
10,13,14,3,6,14,1,3,19,15,N,570
10,14,7,4,6,14,1,3,19,15,N,569
