@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
13,6,4,29,4,6,4,108,1,588,687,N
14,6,5,29,4,7,4,107,1,687,786,N
15,5,5,31,4,6,2,106,1,786,885,W
16,4,5,31,3,6,2,105,1,885,984,W
17,3,5,27,4,6,2,104,1,984,1083,W
18,3,6,27,4,7,2,103,1,1083,1182,N
19,3,7,31,4,7,1,102,1,1182,1281,N
20,3,8,25,4,7,2,101,1,1281,1380,N
21,3,9,11,4,6,4,100,1,1380,1479,N
22,4,9,23,4,5,4,99,1,1479,1578,E
23,5,9,7,5,5,4,98,1,1578,1677,E
24,6,9,31,10,9,4,97,1,1677,1776,E
25,6,8,25,5,5,4,96,1,1776,1875,S
26,6,7,31,5,6,2,95,1,1875,1974,S
27,5,7,15,6,6,2,94,1,1974,2073,W
28,5,6,31,6,5,2,93,1,2073,2172,S
29,4,6,31,6,4,4,92,1,2172,2171,W
30,3,6,27,5,4,4,92,2,2171,2170,W
31,4,6,31,6,4,4,92,1,2170,2169,E
32,5,6,31,5,4,2,92,1,2169,2268,E
33,6,6,29,6,4,2,91,3,2268,2267,E
34,6,6,29,6,4,2,91,3,2267,2266,E
35,6,7,31,7,9,2,91,2,2266,2265,N
36,6,6,29,6,9,2,91,3,2265,2264,S
37,6,5,29,6,2,3,91,2,2264,2263,S
38,6,4,29,6,2,2,91,1,2263,1,9,1,7,9,7,6,114,1,0,-1,X
2,9,1,7,9,7,6,114,1,-1,-2,X
3,9,1,7,9,7,6,114,1,-2,-3,X
4,9,1,7,9,7,6,114,1,-3,-4,X
5,9,1,7,9,7,6,114,1,-4,-5,X
6,9,1,7,9,7,6,114,1,-5,94,X
7,8,1,7,7,7,7,113,1,94,193,W
8,7,1,7,7,7,6,112,1,193,292,W
9,6,1,19,6,7,6,111,1,292,291,W
10,6,1,19,7,7,7,111,1,291,390,W
11,6,2,25,6,7,5,110,1,390,489,N
12,6,3,31,7,7,4,109,1,489,588,N
13,6,4,29,6,7,3,108,1,588,687,N
14,6,5,29,7,7,3,107,1,687,786,N
15,6,6,29,6,7,1,106,1,786,1285,N
16,6,7,31,9,7,3,105,1,1285,1284,N
17,7,7,7,8,7,1,105,2,1284,1483,E
18,8,7,7,9,11,5,105,3,1483,1482,E
19,9,7,23,9,10,3,105,2,1482,1481,E
20,10,7,23,9,9,3,105,2,1481,1480,E
21,10,8,29,9,8,1,105,1,1480,1579,N
22,10,9,29,9,7,3,104,1,1579,1678,N
23,9,9,27,8,7,3,103,1,1678,1677,W
24,9,9,27,8,7,3,103,1,1677,1676,W
25,9,9,27,9,7,2,103,1,1676,1675,W
26,9,8,27,9,7,1,103,2,1675,1675,X
